[INFO ] [2021-12-02 15:21:14,805] Pre-conditon: Step1: Open Browerchromego tohttps://opensource-demo.orangehrmlive.com/
[INFO ] [2021-12-02 15:21:20,438] Pre-conditon: Step2: Login by admin role
[INFO ] [2021-12-02 15:21:24,128]  AddNewEmployee - Step 1: open 'Employee list' 
[INFO ] [2021-12-02 15:21:26,629]  AddNewEmployee - Step 2: click 'add' button
[INFO ] [2021-12-02 15:21:27,380]  AddNewEmployee - Step 3: enter valid to 'Frist Name' textbox
[INFO ] [2021-12-02 15:21:27,506]  AddNewEmployee - Step 4: enter valid to 'Last Name' textbox
[INFO ] [2021-12-02 15:21:27,628]  AddNewEmployee - Step 5: Get value of 'Employee ID'
[INFO ] [2021-12-02 15:21:27,684]  AddNewEmployee - Step 6: click to 'create login detail'
[INFO ] [2021-12-02 15:21:27,817]  AddNewEmployee - Step 7: enter 'User name' textbox
[INFO ] [2021-12-02 15:21:27,936]  AddNewEmployee - Step 8: enter 'password' textbox
[INFO ] [2021-12-02 15:21:28,066]  AddNewEmployee - Step 9: enter 'confirm password' textbox
[INFO ] [2021-12-02 15:21:28,205]  AddNewEmployee - Step 10: select 'status' checkbox = enable 
[INFO ] [2021-12-02 15:21:28,342]  AddNewEmployee - Step 11: click 'save' button
[INFO ] [2021-12-02 15:21:28,451]  AddNewEmployee - Step 12: open 'Employee list' 
[INFO ] [2021-12-02 15:21:30,409]  AddNewEmployee - Step 13: enter valid to 'employee Name' textbox
[INFO ] [2021-12-02 15:21:40,578]  AddNewEmployee - Step 14: click 'search' button
[INFO ] [2021-12-02 15:21:46,129]  AddNewEmployee - Step 15: Verify emplyeee info at table
[INFO ] [2021-12-02 15:21:46,221]  -------------------------- FAILED -------------------------- 
[INFO ] [2021-12-02 15:21:46,441] Post-Condition: Close browerchrome
